UtteranceID	SpeakerID	Transcription
37_5622_20170913203118.wav	37_5622	高德地图
37_5622_20170913203322.wav	37_5622	我想用百度搜索短信
37_5622_20170913203824.wav	37_5622	水费还可以用多长时间
37_5622_20170913203849.wav	37_5622	我超速了吗请测速
37_5622_20170913203918.wav	37_5622	什么时候结束
37_5622_20170913203941.wav	37_5622	我现在哪
37_5622_20170913203954.wav	37_5622	查询所办业务
37_5622_20170913204009.wav	37_5622	在这怎么坐车
37_5622_20170913204039.wav	37_5622	我想知道昨天发生了什么
37_5622_20170913204053.wav	37_5622	某店团购券
37_5622_20170913204106.wav	37_5622	舒缓点的
37_5622_20170913204118.wav	37_5622	转到综艺频道
37_5622_20170913204134.wav	37_5622	娃儿想唱儿歌
37_5622_20170913204149.wav	37_5622	帮我打开美颜相机
37_5622_20170913204203.wav	37_5622	单曲循环这首歌
37_5622_20170913204215.wav	37_5622	你神经
37_5622_20170913204226.wav	37_5622	全摇车窗
37_5622_20170913204238.wav	37_5622	开了就停
37_5622_20170913204252.wav	37_5622	明天早上八点叫我
37_5622_20170913204324.wav	37_5622	将亮度调节为最亮档位
37_5622_20170913204429.wav	37_5622	我想听音乐请转到有声电台
37_5622_20170913204449.wav	37_5622	播放欢乐喜剧人的预告片
37_5622_20170913204509.wav	37_5622	给某某某发个短信吧
37_5622_20170913204522.wav	37_5622	我要去美国
37_5622_20170913204540.wav	37_5622	听儿歌
37_5622_20170913204555.wav	37_5622	两只老虎
37_5622_20170913204611.wav	37_5622	嗯找下淘宝客服
37_5622_20170913204636.wav	37_5622	设置到明早五点半
37_5622_20170913204650.wav	37_5622	搜一下春季卫衣
37_5622_20170913204727.wav	37_5622	打开娱乐频道的广播
37_5622_20170913204744.wav	37_5622	定位最近的室外停车场
37_5622_20170913204802.wav	37_5622	谁敲门都不许开
37_5622_20170913211300.wav	37_5622	循环播放林忆莲的至少还有你
37_5622_20170913221709.wav	37_5622	导航到北京天安门路线
37_5622_20170913221731.wav	37_5622	帮我打开支付宝
37_5622_20170913221742.wav	37_5622	我想看小说
37_5622_20170913221752.wav	37_5622	限时天气
37_5622_20170913221828.wav	37_5622	此路限速多少
37_5622_20170913221849.wav	37_5622	我要听语音听书庶女有毒
37_5622_20170913221902.wav	37_5622	我分手了
37_5622_20170913221915.wav	37_5622	你是不是火星来的
37_5622_20170913221926.wav	37_5622	把屋子调亮一点
37_5622_20170913221957.wav	37_5622	使用吸尘器清洁
37_5622_20170913222020.wav	37_5622	请帮我打开某软件
37_5622_20170913222056.wav	37_5622	声音高一点
37_5622_20170913222115.wav	37_5622	好热啊打开车窗
37_5622_20170913222126.wav	37_5622	座位下降
37_5622_20170914113906.wav	37_5622	请帮我看下这下集的下集预告
37_5622_20170914114102.wav	37_5622	如何解决
37_5622_20170914114113.wav	37_5622	帮我换个台
37_5622_20170914114121.wav	37_5622	来一首刘丹萌的歌
37_5622_20170914114131.wav	37_5622	黑管和竖笛有相似之处吗
37_5622_20170914114143.wav	37_5622	帮我查查潮州天气
37_5622_20170914114154.wav	37_5622	发现自己越来越自闭不想说话
37_5622_20170914114211.wav	37_5622	我看到你播报天气了
37_5622_20170914114220.wav	37_5622	多云转晴再转阴
37_5622_20170914114231.wav	37_5622	像这样的天气不是太凉的没多大问题吧
37_5622_20170914114238.wav	37_5622	今天三亚降温啊
37_5622_20170914114247.wav	37_5622	怎样在最快的时间内学会说粤语
37_5622_20170914114257.wav	37_5622	我的梦想音乐我会让它变成现实
37_5622_20170914114308.wav	37_5622	请帮我解释田园牧歌的寓意
37_5622_20170914114318.wav	37_5622	她听后能明白我本意能使她感动不已
37_5622_20170914114327.wav	37_5622	放一下水手
37_5622_20170914114341.wav	37_5622	东京爱情故事总共有多少个插曲如何下载
37_5622_20170914114349.wav	37_5622	播放酒吧
37_5622_20170914114357.wav	37_5622	放一下山谷里的思念
37_5622_20170914114405.wav	37_5622	哪些音乐适合初学街舞的人
37_5622_20170914114413.wav	37_5622	对付者一律举报
37_5622_20170914114430.wav	37_5622	挺冷的今天天气突然变了
37_5622_20170914114439.wav	37_5622	最近不知道是不是回南天
37_5622_20170914114448.wav	37_5622	播放张艺兴的歌曲
37_5622_20170914114459.wav	37_5622	我今年十八想去学跳舞不知道迟不迟了
37_5622_20170914114511.wav	37_5622	小孩会看歌谱拉小提琴但不会唱
37_5622_20170914114522.wav	37_5622	小学四年级音乐考试唱曹操好吗
37_5622_20170914114535.wav	37_5622	左右手练习的只要左右手练习谱子
37_5622_20170914114543.wav	37_5622	播放皇后乐队的歌
37_5622_20170914114600.wav	37_5622	譬如情歌又可分为悲伤失恋形式也可以写幸福美满形式的
37_5622_20170914114610.wav	37_5622	谁能告诉我制作音乐快慢的软件在哪儿
37_5622_20170914114617.wav	37_5622	播放心雨
37_5622_20170914114629.wav	37_5622	如果你也听说会不会相信我
37_5622_20170914114644.wav	37_5622	近期阴雨天气大家多注意身体多喝开水注意饮食辛辣刺激
37_5622_20170914114652.wav	37_5622	放一下美美哒歌曲
37_5622_20170914114705.wav	37_5622	我内心一直压抑我想释放一下给我一些音乐抚慰我那压抑的心情
37_5622_20170914114719.wav	37_5622	内蒙古自治区白云矿区的天气
37_5622_20170914114732.wav	37_5622	请先说歌名再说是谁唱的感动的原因
37_5622_20170914114744.wav	37_5622	梁朝伟买东西的时候王菲听的音乐
37_5622_20170914114800.wav	37_5622	播放中国娃娃的歌
37_5622_20170914114810.wav	37_5622	有节奏感一般人都能唱
37_5622_20170914114818.wav	37_5622	天气这么热拿什么
37_5622_20170914114833.wav	37_5622	放一下那些花儿
37_5622_20170914114843.wav	37_5622	一次放人气花可以加多少人气
37_5622_20170914114855.wav	37_5622	赶快回来吧那边过两天要降温了
37_5622_20170914114904.wav	37_5622	七月的天气最适合看星星了
37_5622_20170914114921.wav	37_5622	一般来说长笛分低音中音高音还长笛还有更高的音区了吗
37_5622_20170914114935.wav	37_5622	有哪一位可以帮我找出森林狂想曲的曲子
37_5622_20170914114944.wav	37_5622	叫你明天也去开会
37_5622_20170914114951.wav	37_5622	播放曹颖的歌曲
37_5622_20170914114957.wav	37_5622	播放爱出发
37_5622_20170914115004.wav	37_5622	谁有好听的日本歌曲吗
